rule_id,title,alerts,max_severity,hosts,techniques,profiles,fp_per_1000_hosts_per_day
(no-rule-id),[Sigma] SSH authorized_keys への不審な書き込み,3,8,3,T1098.004,dev-machine,1799.98
(no-rule-id),[Sigma] Script Execution from World-Writable Directory (Linux),3,3,3,T1204.002,dev-machine,1799.98
(no-rule-id),[Sigma] Suspicious chmod of Executable in /tmp,3,3,3,T1222.002,dev-machine,1799.98
(no-rule-id),[Sigma] macOS Data Exfiltration via curl or scp Upload,3,7,3,T1041,macbook,1799.98
(no-rule-id),[Sigma] macOS Kernel Extension Load,3,7,3,T1547.006,macbook,1799.98
(no-rule-id),[Sigma] macOS Launch Agent or Daemon plist File Creation,3,7,3,T1543.001,macbook,1799.98
(no-rule-id),[Sigma] macOS Security Software Discovery,3,4,3,T1518.001,macbook,1799.98
(no-rule-id),[Sigma] macOS Shell Startup File Modification,3,6,3,T1546.004,macbook,1799.98
(no-rule-id),[Sigma] macOS Sudoers or Passwd Modification,3,8,3,T1548.003,macbook,1799.98
(no-rule-id),[Sigma] macOS System and Owner Discovery,3,3,3,T1082,macbook,1799.98
(no-rule-id),通常見られないプロセスが不審な場所から実行: MsMpEng.exe,3,4,3,T1059,office-pc,1799.98
(no-rule-id),[DISCOVERY] 短時間に複数種の探索コマンドを実行（偵察の疑い）,2,5,2,T1007|T1049,it-admin,1199.99
(no-rule-id),[HEURISTIC] データ持ち出しの疑い: 外部 3.5.152.180 へ10分内に大量のデータを送信,2,7,2,T1048,macbook,1199.99
(no-rule-id),[HEURISTIC] ランサムウェアの疑い: プロセス 'find' が30秒内に多数のファイルを破壊的操作,2,8,2,T1486,backup-server,1199.99
(no-rule-id),[HEURISTIC] ランサムウェアの疑い: プロセス 'go' が30秒内に多数のファイルを破壊的操作,2,8,2,T1486,dev-machine,1199.99
(no-rule-id),[HEURISTIC] ランサムウェアの疑い: プロセス 'powershell.exe' が30秒内に多数のファイルを破壊的操作,2,8,2,T1486,file-server,1199.99
(no-rule-id),[HEURISTIC] ランサムウェアの疑い: プロセス 'restic' が30秒内に多数のファイルを破壊的操作,2,8,2,T1486,backup-server,1199.99
(no-rule-id),[Sigma] Data Staged in Password-Protected Archive (DB),2,6,2,T1560.001,macbook,1199.99
(no-rule-id),[Sigma] Domain Account Discovery,2,5,2,T1087.002,it-admin,1199.99
(no-rule-id),[Sigma] Domain Group Discovery,2,5,2,T1069.002,it-admin,1199.99
(no-rule-id),[Sigma] Network Share Discovery,2,5,2,T1135,it-admin,1199.99
(no-rule-id),[Sigma] PsExec Remote Execution,2,8,2,T1021.002,it-admin,1199.99
(no-rule-id),[Sigma] RDP Lateral Movement via xfreerdp or mstsc,2,5,2,T1021.001,it-admin,1199.99
(no-rule-id),[Sigma] Registry Modification via reg.exe,2,3,2,T1112,it-admin,1199.99
(no-rule-id),[Sigma] Suspicious Outbound Connection on Non-Standard Port,2,5,2,T1571,file-server,1199.99
(no-rule-id),[Sigma] UAC Disabled or Weakened via Registry Value,2,8,2,T1548.002,it-admin,1199.99
(no-rule-id),[Sigma] Virtualization or Sandbox Discovery via WMIC Hardware Query,2,3,2,T1497,it-admin,1199.99
(no-rule-id),[BEHAVIORAL] C2ビーコン疑い（定期的な外部通信）,1,7,1,T1071,macbook,599.99
(no-rule-id),[BEHAVIORAL] C2ビーコン確度中（周期通信＋C2的振る舞い）,1,8,1,T1071,it-admin,599.99
(no-rule-id),[HEURISTIC] データ持ち出しの疑い: 外部 3.5.152.20 へ10分内に大量のデータを送信,1,7,1,T1048,backup-server,599.99
(no-rule-id),[HEURISTIC] データ持ち出しの疑い: 外部 52.219.68.10 へ10分内に大量のデータを送信,1,7,1,T1048,backup-server,599.99
(no-rule-id),[HEURISTIC] データ持ち出しの疑い: 外部 52.219.68.42 へ10分内に大量のデータを送信,1,7,1,T1048,macbook,599.99
(no-rule-id),[HEURISTIC] ブルートフォースの疑い: アカウント 'CORP\svc_backup' に5分内で多数のログイン失敗,1,7,1,T1110,it-admin,599.99
(no-rule-id),[HEURISTIC] ランサムウェアの疑い: プロセス 'System' が30秒内に多数のファイルを破壊的操作,1,8,1,T1486,file-server,599.99
(no-rule-id),[HEURISTIC] ランサムウェアの疑い: プロセス 'robocopy.exe' が30秒内に多数のファイルを破壊的操作,1,8,1,T1486,file-server,599.99
(no-rule-id),エージェント fpsim-adm-0007 ヘルス警告,1,5,1,,it-admin,599.99
(no-rule-id),エージェント fpsim-adm-0008 ヘルス警告,1,5,1,,it-admin,599.99
(no-rule-id),エージェント fpsim-bkp-0000 ヘルス警告,1,5,1,,backup-server,599.99
(no-rule-id),エージェント fpsim-bkp-0001 ヘルス警告,1,5,1,,backup-server,599.99
(no-rule-id),エージェント fpsim-dev-0002 ヘルス警告,1,5,1,,dev-machine,599.99
(no-rule-id),エージェント fpsim-dev-0003 ヘルス警告,1,5,1,,dev-machine,599.99
(no-rule-id),エージェント fpsim-dev-0004 ヘルス警告,1,5,1,,dev-machine,599.99
(no-rule-id),エージェント fpsim-fs-0005 ヘルス警告,1,5,1,,file-server,599.99
(no-rule-id),エージェント fpsim-fs-0006 ヘルス警告,1,5,1,,file-server,599.99
(no-rule-id),エージェント fpsim-mac-0009 ヘルス警告,1,5,1,,macbook,599.99
(no-rule-id),エージェント fpsim-mac-0010 ヘルス警告,1,5,1,,macbook,599.99
(no-rule-id),エージェント fpsim-mac-0011 ヘルス警告,1,5,1,,macbook,599.99
(no-rule-id),エージェント fpsim-wks-0012 ヘルス警告,1,5,1,,office-pc,599.99
(no-rule-id),エージェント fpsim-wks-0013 ヘルス警告,1,5,1,,office-pc,599.99
(no-rule-id),エージェント fpsim-wks-0014 ヘルス警告,1,5,1,,office-pc,599.99
(no-rule-id),エージェント fpsim-wks-0015 ヘルス警告,1,5,1,,office-pc,599.99
(no-rule-id),エージェント fpsim-wks-0016 ヘルス警告,1,5,1,,office-pc,599.99
(no-rule-id),エージェント fpsim-wks-0017 ヘルス警告,1,5,1,,office-pc,599.99
(no-rule-id),エージェント fpsim-wks-0018 ヘルス警告,1,5,1,,office-pc,599.99
(no-rule-id),エージェント fpsim-wks-0019 ヘルス警告,1,5,1,,office-pc,599.99
(no-rule-id),エージェントオフライン: fpsim-adm-0007,1,7,1,,it-admin,599.99
(no-rule-id),エージェントオフライン: fpsim-adm-0008,1,7,1,,it-admin,599.99
(no-rule-id),エージェントオフライン: fpsim-bkp-0000,1,7,1,,backup-server,599.99
(no-rule-id),エージェントオフライン: fpsim-bkp-0001,1,7,1,,backup-server,599.99
(no-rule-id),エージェントオフライン: fpsim-dev-0002,1,7,1,,dev-machine,599.99
(no-rule-id),エージェントオフライン: fpsim-dev-0003,1,7,1,,dev-machine,599.99
(no-rule-id),エージェントオフライン: fpsim-dev-0004,1,7,1,,dev-machine,599.99
(no-rule-id),エージェントオフライン: fpsim-fs-0005,1,7,1,,file-server,599.99
(no-rule-id),エージェントオフライン: fpsim-fs-0006,1,7,1,,file-server,599.99
(no-rule-id),エージェントオフライン: fpsim-mac-0009,1,7,1,,macbook,599.99
(no-rule-id),エージェントオフライン: fpsim-mac-0010,1,7,1,,macbook,599.99
(no-rule-id),エージェントオフライン: fpsim-mac-0011,1,7,1,,macbook,599.99
(no-rule-id),エージェントオフライン: fpsim-wks-0012,1,7,1,,office-pc,599.99
(no-rule-id),エージェントオフライン: fpsim-wks-0013,1,7,1,,office-pc,599.99
(no-rule-id),エージェントオフライン: fpsim-wks-0014,1,7,1,,office-pc,599.99
(no-rule-id),エージェントオフライン: fpsim-wks-0015,1,7,1,,office-pc,599.99
(no-rule-id),エージェントオフライン: fpsim-wks-0016,1,7,1,,office-pc,599.99
(no-rule-id),エージェントオフライン: fpsim-wks-0017,1,7,1,,office-pc,599.99
(no-rule-id),エージェントオフライン: fpsim-wks-0018,1,7,1,,office-pc,599.99
(no-rule-id),エージェントオフライン: fpsim-wks-0019,1,7,1,,office-pc,599.99
